curve	cores	threads	mem	wall_s	materialise_s	rows	peak_rss_gb	tests	fails
A	1	1	default	175.2	49	45298828	4.05	220	60
A	2	2	default	105.9	28	45298828	3.72	220	60
A	4	4	default	69.9	18	45298828	3.94	220	60
A	8	8	default	57.0	13	45298828	3.58	220	60
A	16	16	default	49.8	10	45298828	3.98	220	60
A	32	32	default	51.4	9	45298828	4.48	220	60
A	48	48	default	57.8	10	45298828	5.20	220	60
A	64	64	default	57.9	10	45298828	5.91	220	60
B	64	1	default	174.9	49	45298828	3.65	220	60
B	64	2	default	106.3	29	45298828	3.79	220	60
B	64	4	default	79.7	19	45298828	3.87	220	60
B	64	8	default	62.6	13	45298828	4.04	220	60
B	64	16	default	56.6	11	45298828	4.00	220	60
B	64	32	default	56.7	10	45298828	4.32	220	60
B	64	64	default	58.2	10	45298828	5.76	220	60
B	64	128	default	59.1	10	45298828	6.47	220	60
B	64	256	default	60.4	10	45298828	7.10	220	60
C	64	64	8GB	58.1	10	45298828	5.85	220	60
C	64	64	32GB	58.5	10	45298828	6.18	220	60
C	64	64	128GB	57.8	9	45298828	5.70	220	60
